recta,enemigos_delante,enemigos_atras,platanos_delante,conchas_atras,power_up_tirado
false,6,0,0,0,shell
true,3,0,0,0,shell
false,4,0,1,0,shell
false,5,0,0,0,shell
false,6,0,0,0,shell
false,5,1,0,0,mushroom
true,0,2,0,0,banana
false,0,1,0,0,banana
true,0,0,0,0,banana
true,0,0,0,0,shell
false,0,0,0,0,mushroom
false,0,0,0,0,banana
true,0,1,1,0,star
false,1,0,0,0,star
true,0,1,0,0,mushroom
true,0,1,0,0,banana
true,0,1,0,0,banana
false,0,0,0,0,banana
false,0,0,0,0,banana
false,0,1,0,0,star
false,0,1,0,0,mushroom
false,0,0,0,0,banana
false,0,0,0,0,banana
false,0,0,0,0,shell
false,6,0,0,0,shell
true,6,0,0,0,shell
false,4,0,0,0,banana
false,5,1,0,0,banana
false,1,0,0,0,mushroom
false,0,0,0,0,shell
false,1,2,0,0,star
false,2,2,0,0,star
true,1,2,0,0,mushroom
true,0,1,0,0,banana
false,0,0,0,0,banana
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,banana
true,0,0,0,0,mushroom
true,0,0,0,0,star
false,6,0,0,0,shell
true,6,0,0,0,shell
false,4,0,0,0,banana
false,5,1,0,0,banana
false,1,0,0,0,mushroom
false,0,0,0,0,shell
false,1,2,0,0,star
false,2,2,0,0,star
true,1,2,0,0,mushroom
true,0,1,0,0,banana
false,0,0,0,0,banana
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,banana
true,0,0,0,0,mushroom
true,0,0,0,0,star
true,0,0,0,0,shell
false,0,0,0,0,shell
false,5,0,0,0,shell
false,6,0,0,0,shell
true,6,0,0,0,shell
false,1,0,0,0,shell
true,2,1,1,0,shell
false,3,0,1,0,shell
false,1,1,0,0,shell
false,1,0,0,0,banana
false,2,1,0,0,banana
true,0,2,0,0,banana
false,0,2,0,0,mushroom
false,0,1,0,1,star
false,0,1,0,0,star
false,0,1,0,0,shell
false,1,0,0,0,shell
false,1,1,0,1,star
false,1,1,0,0,banana
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,shell
false,0,0,0,0,star
true,0,0,0,0,star
true,0,0,0,0,star
false,0,0,0,0,star
false,0,0,0,0,mushroom
false,5,0,0,0,shell
false,6,0,0,0,shell
true,6,0,0,0,shell
false,1,0,0,0,shell
true,2,1,1,0,shell
false,3,0,1,0,shell
false,1,1,0,0,shell
false,1,0,0,0,banana
false,2,1,0,0,banana
true,0,2,0,0,banana
false,0,2,0,0,mushroom
false,0,1,0,1,star
false,0,1,0,0,star
false,0,1,0,0,shell
false,1,0,0,0,shell
false,1,1,0,1,star
false,1,1,0,0,banana
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,shell
false,0,0,0,0,star
true,0,0,0,0,star
true,0,0,0,0,star
false,0,0,0,0,star
false,0,0,0,0,mushroom
false,6,0,0,0,shell
false,6,0,0,0,shell
false,6,0,0,0,shell
false,2,0,0,0,shell
false,3,2,0,0,banana
false,0,2,0,0,star
true,0,2,0,1,banana
true,0,1,0,0,star
false,0,1,0,1,star
false,0,1,0,0,banana
true,0,1,0,0,banana
true,0,1,0,1,star
false,1,1,0,0,shell
false,1,0,0,0,shell
false,0,1,0,0,star
false,0,1,0,1,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,shell
false,0,0,0,0,shell
false,0,0,0,0,banana
false,0,0,0,0,shell
false,0,0,0,0,shell
false,1,1,0,0,mushroom
false,0,0,0,0,shell
true,6,0,0,0,shell
true,3,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,1,0,0,shell
false,6,0,0,0,shell
false,6,0,0,0,mushroom
false,5,1,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,6,0,0,0,shell
false,6,0,0,0,mushroom
false,6,0,0,0,mushroom
false,5,1,1,0,mushroom
false,1,4,0,0,mushroom
false,0,2,0,0,mushroom
false,0,1,0,0,mushroom
false,0,1,0,0,mushroom
false,0,1,0,0,mushroom
false,0,1,0,0,mushroom
false,0,1,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,6,0,0,0,shell
true,6,0,0,0,shell
false,1,0,0,0,mushroom
false,4,0,0,0,mushroom
false,4,0,2,0,mushroom
false,4,1,0,0,mushroom
true,1,1,0,0,mushroom
true,1,1,0,0,mushroom
false,2,1,0,0,mushroom
true,0,2,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
true,0,0,0,0,mushroom
true,0,0,0,0,shell
true,0,0,0,0,shell
true,0,0,0,0,shell
false,6,0,0,0,shell
false,2,4,0,0,mushroom
false,2,4,0,0,mushroom
false,2,3,0,0,mushroom
false,2,3,0,0,mushroom
false,0,2,0,0,mushroom
false,0,2,0,0,mushroom
false,0,2,0,0,mushroom
false,1,0,0,0,mushroom
false,0,1,0,1,mushroom
false,0,1,0,0,shell
false,0,1,0,0,shell
false,0,1,0,0,shell
false,1,1,0,0,shell
false,1,1,0,0,shell
false,1,1,0,0,mushroom
false,1,2,0,0,shell
false,1,2,0,1,shell
false,0,1,0,0,banana
false,0,0,0,0,banana
true,0,0,0,0,banana
false,6,0,0,0,shell
false,6,0,0,0,mushroom
false,6,0,0,0,mushroom
false,5,1,0,0,mushroom
true,0,0,0,0,shell
true,0,0,0,0,shell
false,2,0,0,0,mushroom
false,2,0,0,0,mushroom
false,0,1,0,0,mushroom
false,1,0,0,0,mushroom
false,2,0,0,0,mushroom
false,2,0,0,0,mushroom
false,1,0,0,0,mushroom
false,1,0,0,0,mushroom
false,0,2,0,0,mushroom
true,0,2,0,0,mushroom
false,0,1,0,0,mushroom
false,0,0,0,0,mushroom
false,0,0,0,0,mushroom
false,0,1,0,0,mushroom
false,0,1,0,0,mushroom
true,1,0,0,1,mushroom
true,0,0,0,0,mushroom
