recta,enemigos_delante,enemigos_atras,platanos_delante,conchas_atras,power_up_tirado
false,5,0,0,0,shell
false,6,0,0,0,shell
false,5,1,0,0,mushroom
true,0,2,0,0,banana
false,0,1,0,0,banana
true,0,0,0,0,banana
true,0,0,0,0,shell
false,0,0,0,0,mushroom
false,0,0,0,0,banana
true,0,1,1,0,star
false,1,0,0,0,star
true,0,1,0,0,mushroom
true,0,1,0,0,banana
true,0,1,0,0,banana
false,0,0,0,0,banana
false,0,0,0,0,banana
false,0,1,0,0,star
false,0,1,0,0,mushroom
false,0,0,0,0,banana
false,0,0,0,0,banana
false,0,0,0,0,shell
