lapTime_delta,position_delta,mapCollisions_total,shellsUsed_total,bananasUsed_total,mushroomsUsed_total,starsUsed_total,bananaHitsReceived_total,shellHitsReceived_total,player_type,aggressiveness,hit_ratio,powerup_efficiency
33.055,5.1,7,1,2,0,0,2,2,Slow,3,1.0,0.375
14.325,4.2,5,1,2,2,0,1,0,Conservative,3,0.25,0.5
17.901,4.1,19,1,3,0,0,7,5,Clumsy,4,2.4,0.2
7.127,1.0,1,4,1,5,0,2,2,Pro,5,0.6666666666666666,2.5
35.926,5.4,5,0,1,2,0,2,2,Slow,1,2.0,0.16666666666666666
18.877,4.0,6,0,1,0,0,2,0,Slow,1,1.0,0.14285714285714285
29.809,6.0,39,3,3,1,0,6,5,Clumsy,6,1.5714285714285714,0.15
27.398,4.9,5,2,0,0,0,1,1,Slow,2,0.6666666666666666,0.3333333333333333
19.764,4.7,26,2,0,1,0,5,6,Clumsy,2,3.6666666666666665,0.07407407407407407
16.377,3.7,6,1,1,3,0,1,2,Conservative,2,1.0,0.2857142857142857
39.8,6.0,9,0,0,2,0,0,2,Slow,0,2.0,0.0
12.297,2.3,3,1,2,1,0,0,1,Conservative,3,0.25,0.75
14.0,3.0,17,6,6,0,0,8,4,Aggressive,12,0.9230769230769231,0.6666666666666666
10.68,2.4,1,1,1,0,0,0,2,Conservative,2,0.6666666666666666,1.0
8.676,1.4,8,3,7,2,0,7,3,Aggressive,10,0.9090909090909091,1.1111111111111112
22.926,4.4,2,2,2,2,0,2,1,Slow,4,0.6,1.3333333333333333
7.265,1.0,1,0,1,5,0,1,0,Pro,1,0.5,0.5
36.779,5.9,8,1,0,2,0,2,1,Slow,1,1.5,0.1111111111111111
16.603,3.5,6,2,0,3,0,1,1,Conservative,2,0.6666666666666666,0.2857142857142857
11.985,3.1,3,2,1,0,0,1,0,Conservative,3,0.25,0.75
27.382,5.8,11,1,1,0,0,0,0,Slow,2,0.0,0.16666666666666666
14.0,4.2,21,1,1,1,0,7,3,Clumsy,2,3.3333333333333335,0.09090909090909091
10.584,1.9,6,0,1,2,0,0,1,Pro,1,0.5,0.14285714285714285
16.718,4.0,7,1,1,0,0,2,0,Conservative,2,0.6666666666666666,0.25
22.33,3.8,21,5,3,4,0,7,5,Chaotic,8,1.3333333333333333,0.36363636363636365
28.392,5.7,38,0,0,0,0,7,5,Clumsy,0,12.0,0.0
10.263,2.0,0,1,1,0,0,1,1,Conservative,2,0.6666666666666666,2.0
11.539,4.2,9,2,2,2,0,1,1,Conservative,4,0.4,0.4
38.925,5.5,8,0,0,0,0,0,1,Slow,0,1.0,0.0
21.569,5.5,29,0,0,1,0,4,4,Clumsy,0,8.0,0.0
10.349,1.8,12,7,3,2,0,3,6,Aggressive,10,0.8181818181818182,0.7692307692307693
16.788,3.8,8,2,0,2,0,0,1,Conservative,2,0.3333333333333333,0.2222222222222222
13.432,3.0,3,1,2,2,0,1,2,Conservative,3,0.75,0.75
40.0,6.0,9,0,0,0,0,1,0,Slow,0,1.0,0.0
10.231,2.5,7,0,1,1,0,0,2,Conservative,1,1.0,0.125
11.536,1.9,5,0,2,3,0,1,2,Conservative,2,1.0,0.3333333333333333
11.406,2.8,1,2,1,0,1,1,2,Conservative,3,0.75,1.5
22.541,4.7,1,0,1,2,0,0,2,Slow,1,1.0,0.5
22.471,5.2,32,2,3,1,0,4,6,Clumsy,5,1.6666666666666667,0.15151515151515152
10.234,2.0,10,6,5,1,0,7,5,Aggressive,11,1.0,1.0
10.039,1.6,8,5,3,2,0,7,5,Aggressive,8,1.3333333333333333,0.8888888888888888
27.238,4.8,4,1,1,1,0,1,1,Slow,2,0.6666666666666666,0.4
28.949,4.5,4,2,0,0,0,0,1,Slow,2,0.3333333333333333,0.4
12.999,5.1,32,1,0,1,0,7,6,Clumsy,1,6.5,0.030303030303030304
16.12,3.4,7,1,2,3,0,2,0,Conservative,3,0.5,0.375
34.966,5.2,7,1,2,0,0,2,2,Slow,3,1.0,0.375
17.467,3.8,7,0,0,3,0,0,1,Conservative,0,1.0,0.0
14.251,4.3,19,0,2,1,0,7,3,Clumsy,2,3.3333333333333335,0.1
22.194,4.0,0,2,1,2,0,0,2,Slow,3,0.5,3.0
11.392,3.5,15,6,1,5,0,3,7,Chaotic,7,1.25,0.4375
21.378,4.0,0,0,0,1,0,1,1,Slow,0,2.0,0.0
17.556,3.9,7,0,0,3,0,2,2,Conservative,0,4.0,0.0
7.056,1.1,0,5,0,5,0,2,0,Pro,5,0.3333333333333333,5.0
7.0,1.1,1,5,1,4,0,1,2,Pro,6,0.42857142857142855,3.0
13.093,2.7,2,0,0,3,0,0,2,Conservative,0,2.0,0.0
7.772,1.3,17,5,7,0,0,3,4,Aggressive,12,0.5384615384615384,0.6666666666666666
28.048,5.7,36,1,3,1,0,4,5,Clumsy,4,1.8,0.10810810810810811
20.056,3.7,20,1,7,3,0,4,7,Chaotic,8,1.2222222222222223,0.38095238095238093
27.603,5.7,2,2,0,2,0,2,1,Slow,2,1.0,0.6666666666666666
13.406,2.8,5,1,2,1,0,1,1,Conservative,3,0.5,0.5
27.505,1.6,21,5,3,4,0,4,3,Chaotic,8,0.7777777777777778,0.36363636363636365
24.274,4.2,1,0,0,1,0,0,1,Slow,0,1.0,0.0
37.292,5.8,9,2,1,0,0,0,0,Slow,3,0.0,0.3
30.0,6.0,28,0,6,4,0,7,6,Chaotic,6,1.8571428571428572,0.20689655172413793
22.046,4.2,22,1,5,2,0,9,3,Chaotic,6,1.7142857142857142,0.2608695652173913
26.251,5.5,37,3,2,0,0,5,3,Clumsy,5,1.3333333333333333,0.13157894736842105
13.679,2.9,17,7,4,0,0,7,5,Aggressive,11,1.0,0.6111111111111112
31.373,5.3,5,2,0,2,0,1,1,Slow,2,0.6666666666666666,0.3333333333333333
15.024,4.3,21,1,0,2,0,5,6,Clumsy,1,5.5,0.045454545454545456
11.581,1.8,13,5,7,0,0,7,5,Aggressive,12,0.9230769230769231,0.8571428571428571
14.432,2.9,5,2,2,2,0,1,2,Conservative,4,0.6,0.6666666666666666
20.303,3.8,19,1,8,2,0,5,6,Chaotic,9,1.1,0.45
11.326,2.1,14,5,3,4,0,3,5,Aggressive,8,0.8888888888888888,0.5333333333333333
11.771,2.2,14,8,3,1,0,5,4,Aggressive,11,0.75,0.7333333333333333
13.795,3.2,3,1,0,0,0,1,1,Conservative,1,1.0,0.25
26.096,4.6,3,2,0,0,0,0,1,Slow,2,0.3333333333333333,0.5
8.0,1.2,5,6,6,0,0,4,5,Aggressive,12,0.6923076923076923,2.0
14.772,4.3,19,0,2,1,0,8,6,Clumsy,2,4.666666666666667,0.1
11.901,2.0,13,5,4,0,0,5,4,Aggressive,9,0.9,0.6428571428571429
40.0,6.0,10,0,1,0,0,0,2,Slow,1,1.0,0.09090909090909091
7.431,1.1,9,4,6,0,0,5,7,Chaotic,10,1.0909090909090908,1.0
30.0,5.3,26,4,2,4,0,8,7,Chaotic,6,2.142857142857143,0.2222222222222222
10.657,1.9,5,3,2,5,0,1,2,Pro,5,0.5,0.8333333333333334
18.525,5.1,0,1,1,2,0,2,1,Slow,2,1.0,2.0
14.455,3.2,4,2,2,1,0,1,2,Conservative,4,0.6,0.8
23.077,5.1,5,0,0,0,0,1,2,Slow,0,3.0,0.0
21.617,4.0,21,7,2,3,0,10,8,Chaotic,9,1.8,0.4090909090909091
17.379,4.0,21,0,3,0,0,3,6,Clumsy,3,2.25,0.13636363636363635
38.351,6.0,8,0,1,1,0,0,2,Slow,1,1.0,0.1111111111111111
17.904,3.4,7,0,2,3,0,0,0,Conservative,2,0.0,0.25
11.046,2.0,11,6,4,2,0,8,4,Aggressive,10,1.0909090909090908,0.8333333333333334
27.983,4.7,2,0,2,1,0,2,0,Slow,2,0.6666666666666666,0.6666666666666666
23.616,4.9,30,0,2,2,0,4,5,Clumsy,2,3.0,0.06451612903225806
26.331,6.0,25,3,5,3,0,10,7,Chaotic,8,1.8888888888888888,0.3076923076923077
12.949,2.8,16,4,4,4,0,6,3,Aggressive,8,1.0,0.47058823529411764
18.732,2.4,19,1,6,5,0,8,5,Chaotic,7,1.625,0.35
15.85,3.9,6,2,1,1,0,0,0,Conservative,3,0.0,0.42857142857142855
26.76,4.6,3,1,2,2,0,0,2,Slow,3,0.5,0.75
8.48,1.3,3,5,2,2,0,1,1,Pro,7,0.25,1.75
25.111,4.6,1,0,1,0,0,0,2,Slow,1,1.0,0.5
10.583,2.1,0,2,2,3,0,2,0,Conservative,4,0.4,4.0
10.0,2.1,2,0,0,2,0,0,2,Conservative,0,2.0,0.0
22.974,4.5,3,2,1,0,0,1,0,Slow,3,0.25,0.75
20.408,4.5,20,1,7,4,0,7,7,Chaotic,8,1.5555555555555556,0.38095238095238093
12.111,1.9,15,3,3,5,0,7,6,Aggressive,6,1.8571428571428572,0.375
14.0,3.0,17,5,5,2,0,7,4,Aggressive,10,1.0,0.5555555555555556
28.223,6.0,35,3,1,1,0,6,5,Clumsy,4,2.2,0.1111111111111111
16.048,4.2,20,0,2,0,0,5,6,Clumsy,2,3.6666666666666665,0.09523809523809523
9.518,1.7,4,3,1,4,0,1,2,Pro,4,0.6,0.8
31.022,5.1,7,1,2,2,0,2,2,Slow,3,1.0,0.375
15.557,3.4,6,2,1,0,0,2,2,Conservative,3,1.0,0.42857142857142855
8.932,1.3,4,3,3,3,0,2,1,Pro,6,0.42857142857142855,1.2
21.711,5.0,30,0,1,2,0,6,6,Clumsy,1,6.0,0.03225806451612903
11.982,2.1,2,2,2,0,0,1,0,Conservative,4,0.2,1.3333333333333333
19.201,3.8,35,1,0,0,0,3,3,Clumsy,1,3.0,0.027777777777777776
12.28,2.2,12,6,6,0,0,8,3,Aggressive,12,0.8461538461538461,0.9230769230769231
9.627,2.0,7,2,1,2,0,1,1,Conservative,3,0.5,0.375
17.799,4.8,24,0,1,2,0,4,4,Clumsy,1,4.0,0.04
13.894,2.8,4,0,0,2,0,0,2,Conservative,0,2.0,0.0
39.916,6.0,10,2,2,0,0,0,2,Slow,4,0.4,0.36363636363636365
14.457,3.2,4,2,0,1,0,1,2,Conservative,2,1.0,0.4
11.87,2.5,1,1,1,0,0,1,1,Conservative,2,0.6666666666666666,1.0
38.981,6.0,10,0,2,0,0,1,0,Slow,2,0.3333333333333333,0.18181818181818182
9.14,1.6,4,3,0,4,0,2,1,Pro,3,0.75,0.6
11.496,1.2,14,2,0,2,0,6,5,Chaotic,2,3.6666666666666665,0.13333333333333333
11.392,2.6,13,5,3,4,0,3,4,Aggressive,8,0.7777777777777778,0.5714285714285714
15.983,4.1,23,0,2,2,0,5,5,Clumsy,2,3.3333333333333335,0.08333333333333333
12.77,2.8,17,6,3,3,0,8,3,Aggressive,9,1.1,0.5
9.264,1.0,8,3,8,1,0,6,5,Aggressive,11,0.9166666666666666,1.2222222222222223
10.626,2.0,10,5,7,0,0,3,3,Aggressive,12,0.46153846153846156,1.0909090909090908
11.676,2.8,8,7,5,0,0,8,6,Aggressive,12,1.0769230769230769,1.3333333333333333
28.772,5.0,4,1,0,1,0,1,0,Slow,1,0.5,0.2
22.119,4.1,1,0,0,2,0,2,1,Slow,0,3.0,0.0
23.075,5.0,32,3,1,2,0,4,4,Clumsy,4,1.6,0.12121212121212122
