recta,enemigos_delante,enemigos_atras,platanos_delante,conchas_atras,power_up_tirado
true,0,0,0,0,mushroom
true,0,0,1,0,mushroom
true,0,0,0,1,mushroom
true,1,0,0,0,shell
true,1,0,1,0,shell
true,2,0,0,0,shell
true,2,0,1,0,shell
true,3,0,0,0,shell
true,1,1,0,0,mushroom
true,1,2,0,0,banana
true,0,1,0,0,banana
true,0,2,0,0,banana
true,0,3,0,0,banana
true,0,1,0,1,banana
true,0,2,0,1,banana
true,0,2,1,1,banana
true,0,0,2,2,star
true,0,0,3,1,star
true,0,0,1,3,star
true,1,0,2,2,star
true,0,1,2,2,star
true,2,1,0,0,shell
true,1,2,0,0,banana
true,3,1,1,0,shell
true,1,3,0,1,banana
true,2,2,0,0,mushroom
true,2,2,2,2,star
true,3,2,0,0,shell
true,2,3,0,0,banana
true,1,1,2,2,star
false,0,0,0,0,star
false,0,0,1,0,star
false,0,0,0,1,star
false,0,0,2,0,star
false,0,0,0,2,star
false,0,0,2,2,star
false,0,0,3,1,star
false,0,0,1,3,star
false,1,0,0,0,shell
false,2,0,0,0,shell
false,3,0,0,0,shell
false,1,0,1,0,shell
false,2,0,1,0,shell
false,3,1,0,0,shell
false,4,1,0,0,shell
false,1,1,0,0,shell
false,2,1,0,0,shell
false,1,2,0,0,banana
false,0,1,0,0,banana
false,0,2,0,0,banana
false,0,3,0,0,banana
false,0,1,0,1,banana
false,0,2,0,1,banana
false,1,3,0,0,banana
false,1,4,0,0,banana
false,2,3,0,0,banana
false,2,0,2,2,star
false,0,2,2,2,star
false,1,1,2,2,star
false,1,0,3,1,star
false,0,1,1,3,star
false,3,0,2,2,star
false,0,3,2,2,star
false,2,1,1,2,star
false,1,2,2,1,star
true,4,0,0,0,shell
true,5,0,0,0,shell
true,0,4,0,0,banana
true,0,5,0,0,banana
true,4,1,0,0,shell
true,1,4,0,0,banana
true,3,3,0,0,mushroom
true,3,3,2,2,star
false,4,0,1,0,shell
false,0,4,0,1,banana
false,5,1,0,0,shell
false,1,5,0,0,banana
false,2,2,0,0,star
false,2,2,1,1,star
true,0,0,4,0,star
true,0,0,0,4,star
true,1,0,3,0,star
true,0,1,0,3,star
true,2,0,0,2,shell
true,0,2,2,0,banana
false,2,0,0,2,shell
false,0,2,2,0,banana
true,1,1,1,0,mushroom
true,1,1,0,1,mushroom
false,1,1,1,0,shell
false,1,1,0,1,banana
true,2,1,1,1,shell
true,1,2,1,1,banana
false,2,1,1,1,shell
false,1,2,1,1,banana
true,0,0,1,2,star
true,0,0,2,1,star
false,0,0,1,2,star
false,0,0,2,1,star
